Architecture,Accuracy,Precision,Recall,F1-Score,AUC-ROC,Time,Iterations
"(20, 10)",93.28214971209214,86.66666666666667,45.614035087719294,59.77011494252874,0.873544313369631,0.210992,35
"(20,)",93.09021113243762,81.81818181818183,47.368421052631575,60.0,0.8008356019358742,0.157102,32
"(50, 25, 10)",93.09021113243762,92.0,40.35087719298245,56.09756097560976,0.8605754688445251,0.254006,27
"(30, 20, 10)",93.09021113243762,92.0,40.35087719298245,56.09756097560976,0.8592899274047187,0.264054,35
"(50, 25)",93.09021113243762,92.0,40.35087719298245,56.09756097560976,0.8710110405323653,0.212863,24
"(50, 50)",92.89827255278311,85.71428571428571,42.10526315789473,56.470588235294116,0.843447519661222,0.174074,19
"(50,)",92.89827255278311,85.71428571428571,42.10526315789473,56.470588235294116,0.8525597398669087,0.171944,30
"(100,)",92.7063339731286,85.18518518518519,40.35087719298245,54.761904761904766,0.8204212038717484,0.144278,17
"(20, 10, 5)",92.32245681381957,84.0,36.84210526315789,51.21951219512195,0.8201187235329703,0.258886,35
"(30, 15)",90.97888675623801,66.66666666666666,35.08771929824561,45.97701149425287,0.652279945553539,0.108411,14
"(10,)",89.0595009596929,50.0,3.508771929824561,6.557377049180328,0.8207614942528736,0.16377,40
"(10, 5)",88.67562380038387,48.275862068965516,49.122807017543856,48.69565217391305,0.7904378402903811,0.224571,25
"(5,)",61.80422264875239,14.85148514851485,52.63157894736842,23.166023166023166,0.598419540229885,0.135988,31
