Received,11/28/2025 10:12,DTV,DTV,Cam on QK da dong hanh cung Black Fire-day 2024. DTV xin thong tin su kien Black Fire-day 2025 (28/11 - 1/12/2025) tai https://s.dtv.onl/2p8hu238
Received,11/28/2025 7:11,UIT,UIT,"Truong DH CNTT thong bao hoc bu mon Ky thuat lap trinh Python(IE221.Q11.2) vao thu 6 ngay 26/12/2025, Tiet 6,7,8,9,10, Phong B2.12. Chi tiet vui long lien he (028) 372 52002 chon 155"
Received,11/26/2025 17:04,MTTQ ,MTTQ ,[TB] MTTQ Việt Nam kêu gọi chung tay ủng hộ đồng bào bị thiệt hại do bão lũ gây ra. Các tài khoản tiếp nhận: 55102025 tại Vietinbank; 8639699999 tại BIDV; 1400666102025 tại Agribank; 8888881010 tại Vietcombank; 0606 tại Mbbank.
Received,11/24/2025 19:39,888,888,"Goi cuoc cua Quy khach da het dung luong toc do cao trong ngay. Quy khach vui long soan D5 gui 888 chi 5.000d/ngay co 1GB toc do cao, gia han hang ngay. Chi tiet lien he 18001091"
Received,11/24/2025 0:12,888,888,"Dung luong Data con lai cua goi BIG: 1897 MB, HSD: 23:59 ngay 24/11/2025. HSD goi cuoc: 23:59 ngay 08/12/2025. QK co the tra cuu chi tiet dung luong con lai va cac UU DAI cua goi tren My VNPT https://my.vnpt.com.vn/adv/dungluong . CSKH: 18001091(0d)."
,,,,
Received,11/24/2025 0:05,888,888,"Dung luong Data con lai cua goi BIG: 510 MB, HSD: 23:59 ngay 24/11/2025. HSD goi cuoc: 23:59 ngay 08/12/2025. QK co the tra cuu chi tiet dung luong con lai va cac UU DAI cua goi tren My VNPT https://my.vnpt.com.vn/adv/dungluong . CSKH: 18001091(0d)."
,,,,
Received,11/22/2025 16:17,84917236829,84917236829,"s0 Dang Ky Nhan Ngay 88K Free. Nap Dau Nhan 188K, Va Nhieu Uu Dai Hap Dan.AE Den Ngay Nao! DWyq1eb.LnEwR.tech rU"
Received,11/22/2025 14:36,888,888,"Dung luong Data con lai cua goi BIG: 1207 MB, HSD: 23:59 ngay 22/11/2025. HSD goi cuoc: 23:59 ngay 08/12/2025. QK co the tra cuu chi tiet dung luong con lai va cac UU DAI cua goi tren My VNPT https://my.vnpt.com.vn/adv/dungluong . CSKH: 18001091(0d)."
,,,,
Received,11/22/2025 13:02,888,888,"Dung luong Data con lai cua goi BIG: 1807 MB, HSD: 23:59 ngay 22/11/2025. HSD goi cuoc: 23:59 ngay 08/12/2025. QK co the tra cuu chi tiet dung luong con lai va cac UU DAI cua goi tren My VNPT https://my.vnpt.com.vn/adv/dungluong . CSKH: 18001091(0d)."
,,,,
Received,11/20/2025 23:07,888,888,"Goi cuoc cua Quy khach da het dung luong toc do cao trong ngay. Quy khach vui long soan D5 gui 888 chi 5.000d/ngay co 1GB toc do cao, gia han hang ngay. Chi tiet lien he 18001091"
Received,11/20/2025 11:01,MTTQ ,MTTQ ,[TB] MTTQ Việt Nam kêu gọi chung tay ủng hộ đồng bào bị thiệt hại do bão lũ gây ra. Các tài khoản tiếp nhận: 55102025 tại Vietinbank; 8639699999 tại BIDV; 1400666102025 tại Agribank; 8888881010 tại Vietcombank; 0606 tại Mbbank.
Received,11/19/2025 20:06,888,888,"Dung luong Data con lai cua goi BIG: 367 MB, HSD: 23:59 ngay 19/11/2025. HSD goi cuoc: 23:59 ngay 08/12/2025. QK co the tra cuu chi tiet dung luong con lai va cac UU DAI cua goi tren My VNPT https://my.vnpt.com.vn/adv/dungluong . CSKH: 18001091(0d)."
,,,,
Received,11/19/2025 18:44,888,888,"Dung luong Data con lai cua goi BIG: 517 MB, HSD: 23:59 ngay 19/11/2025. HSD goi cuoc: 23:59 ngay 08/12/2025. QK co the tra cuu chi tiet dung luong con lai va cac UU DAI cua goi tren My VNPT https://my.vnpt.com.vn/adv/dungluong . CSKH: 18001091(0d)."
,,,,
Received,11/18/2025 18:42,NAPTHE-VNP,NAPTHE-VNP,"(TB) Ưu đãi chạm tay – Nạp ngay đừng ngại! VinaPhone dành riêng cho Quý khách nhận được tin nhắn và nạp thẻ trong HÔM NAY 18/11/2025, có ngay:
+ 20% giá trị thẻ nạp. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày.
+ Thêm ưu đãi hời khi nạp tại https://my.vnpt.com.vn/adv/napthe .
CSKH: 18001091 (0đ)."
Received,11/17/2025 20:40,NAPTHE-VNP,NAPTHE-VNP,"(TB) Ưu đãi chạm tay – Nạp ngay đừng ngại! VinaPhone dành riêng cho Quý khách nhận được tin nhắn:
+ Tặng ngay 20% giá trị thè nạp trong NGÀY MAI 18/11/2025. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày. 
+ Thêm ưu đãi hời khi nạp tại https://my.vnpt.com.vn/adv/napthe .
CSKH: 18001091 (0đ).
"
Received,11/16/2025 9:24,NAPTHE-VNP,NAPTHE-VNP,"(TB) TIÊU DÙNG THÔNG THÁI - CHỚP NGAY ƯU ĐÃI VỚI MYVNPT! VinaPhone tặng Quý khách 50% khi nạp tiền điện thoại bằng hình thức trực tiếp DUY NHẤT trên ứng dụng My VNPT trong hôm nay 16/11/2025 tại: https://my.vnpt.com.vn/adv/napdt . Khuyến mãi được sử dụng gọi và nhắn tin trong 15 ngày. CSKH:18001091 (0đ).

"
Received,11/14/2025 10:46,NAPTHE-VNP,NAPTHE-VNP,"(TB) NẠP THẺ NGAY - QUÀ LIỀN TAY! Chỉ cần nạp thẻ trong HÔM NAY 14/11/2025, Quý khách được tặng ngay 20% giá trị thẻ nạp. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày. Thêm ưu đãi khi nạp tại: https://my.vnpt.com.vn/adv/napthe . CSKH: 18001091 (0đ)."
Received,11/13/2025 12:52,UIT,UIT,Truong DH CNTT thong bao nghi hoc Mon Ky thuat lap trinh Python(IE221.Q11.2) vao thu 6 ngay 14 thang 11 nam 2025. Chi tiet vui long lien he (028) 372 52002 chon 155
Received,11/13/2025 12:16,84987078116,84987078116,Đơn shopee ra cổng sau quẹo phải lấy trước 15h. Lấy k đc nhờ bạn lấy
Received,11/12/2025 19:39,888,888,"Dung luong Data con lai cua goi BIG: 1597 MB, HSD: 23:59 ngay 12/11/2025. HSD goi cuoc: 23:59 ngay 08/12/2025. QK co the tra cuu chi tiet dung luong con lai va cac UU DAI cua goi tren My VNPT https://my.vnpt.com.vn/adv/dungluong . CSKH: 18001091(0d)."
,,,,
Received,11/12/2025 16:46,NESTLE VN,NESTLE VN,NESTLE VN: Ma OTP dung de xac thuc tai khoan cua ban tai https://www.giadinhnestle.com.vn/siu-thuc-tap-sinh la 6591. Ma co hieu luc trong 60 giay.
Received,11/12/2025 15:36,MTTQ ,MTTQ ,[TB] MTTQ Việt Nam kêu gọi chung tay ủng hộ đồng bào bị thiệt hại do bão lũ gây ra. Các tài khoản tiếp nhận: 55102025 tại Vietinbank; 8639699999 tại BIDV; 1400666102025 tại Agribank; 8888881010 tại Vietcombank; 0606 tại Mbbank.
Received,11/11/2025 17:14,84562491665,84562491665,YH 888b - tang tan thu code 60K trai nghiem ( H6Y1Y1907T39X) choi thang rut ngay. Nap dau tang them 100% cuc hot. jOeR5Rv.Gezne.de i7V
Received,11/11/2025 15:50,NAPTHE-VNP,NAPTHE-VNP,"(TB) 11/11- Ưu đãi xịn bùng nổ, nạp liền kẻo lỡ! VinaPhone dành riêng cho Quý khách nhận được tin nhắn và nạp thẻ trong HÔM NAY, có ngay:
+ 20% giá trị thẻ nạp. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày.
+ Thêm ưu đãi hời khi nạp tại https://my.vnpt.com.vn/adv/napthe .
CSKH: 18001091 (0đ).
"
