"Type","Date","Name / Number","Sender","Content"
"Received","Nov 28, 2025 7:11:00 AM","UIT","UIT","Truong DH CNTT thong bao hoc bu mon Ky thuat lap trinh Python(IE221.Q11.2) vao thu 6 ngay 26/12/2025, Tiet 6,7,8,9,10, Phong B2.12. Chi tiet vui long lien he (028) 372 52002 chon 155"
"Received","Nov 26, 2025 5:50:38 PM","MTTQ ","MTTQ ","[TB] MTTQ Việt Nam kêu gọi chung tay ủng hộ đồng bào bị thiệt hại do bão lũ gây ra. Các tài khoản tiếp nhận: 55102025 tại Vietinbank; 8639699999 tại BIDV; 1400666102025 tại Agribank; 8888881010 tại Vietcombank; 0606 tại Mbbank."
"Received","Nov 20, 2025 2:26:12 PM","MTTQ ","MTTQ ","[TB] MTTQ Việt Nam kêu gọi chung tay ủng hộ đồng bào bị thiệt hại do bão lũ gây ra. Các tài khoản tiếp nhận: 55102025 tại Vietinbank; 8639699999 tại BIDV; 1400666102025 tại Agribank; 8888881010 tại Vietcombank; 0606 tại Mbbank."
"Received","Nov 18, 2025 4:11:27 PM","NAPTHE-VNP","NAPTHE-VNP","(TB) Ưu đãi chạm tay – Nạp ngay đừng ngại! VinaPhone dành riêng cho Quý khách nhận được tin nhắn và nạp thẻ trong HÔM NAY 18/11/2025, có ngay:
+ 20% giá trị thẻ nạp. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày.
+ Thêm ưu đãi hời khi nạp tại https://my.vnpt.com.vn/adv/napthe .
CSKH: 18001091 (0đ)."
"Received","Nov 17, 2025 1:58:03 PM","NAPTHE-VNP","NAPTHE-VNP","(TB) Ưu đãi chạm tay – Nạp ngay đừng ngại! VinaPhone dành riêng cho Quý khách nhận được tin nhắn:
+ Tặng ngay 20% giá trị thè nạp trong NGÀY MAI 18/11/2025. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày. 
+ Thêm ưu đãi hời khi nạp tại https://my.vnpt.com.vn/adv/napthe .
CSKH: 18001091 (0đ).
"
"Received","Nov 16, 2025 8:26:38 AM","NAPTHE-VNP","NAPTHE-VNP","(TB) TIÊU DÙNG THÔNG THÁI - CHỚP NGAY ƯU ĐÃI VỚI MYVNPT! VinaPhone tặng Quý khách 50% khi nạp tiền điện thoại bằng hình thức trực tiếp DUY NHẤT trên ứng dụng My VNPT trong hôm nay 16/11/2025 tại: https://my.vnpt.com.vn/adv/napdt . Khuyến mãi được sử dụng gọi và nhắn tin trong 15 ngày. CSKH:18001091 (0đ).

"
"Received","Nov 15, 2025 5:14:05 PM","VinaPhone","VinaPhone","(QC) Soan DK gui 9923 de nhan ngay 7GB toc do cao dung trong 7 ngay tu goi cuoc DT30.  Gia uu dai chi 30.000d/7 ngay. Loi moi co hieu luc trong 03 ngay. Tu choi QC, soan TC gui 9923. CSKH 18001091."
"Received","Nov 15, 2025 4:13:27 PM","900","900","Tai khoan cua Quy khach da duoc nap 10,000d tu 373090 vao 15/11/2025 16:13:26. Ma giao dich 2411042852. Chi tiet lien he CSKH 18001091 (0d). Tran trong cam on!"
"Received","Nov 15, 2025 4:11:55 PM","MOMO","MOMO","Ban co the qua NAP DIEN THOAI MIEN PHI 10.000D trong MoMo, het han 18/11. Mo Vi > UU DAI > QUA CUA TOI dung ngay!"
"Received","Nov 14, 2025 11:14:25 AM","VNPT","VNPT","VinaPhone Đồng Nai thông báo: Internet Wifi- Home1; 300Mb. Gia:180k/thang, LH:18001166 hoặc truy cập https://digishop.vnpt.vn/internet-tv/home-sanh-2/4126 TC gửi 024800126 để từ chối."
"Received","Nov 13, 2025 3:12:13 PM","NAPTHE-VNP","NAPTHE-VNP","(TB) TIẾT KIỆM CHI PHÍ - MỞ VÍ NGÀY VÀNG! Chỉ cần nạp thẻ vào NGÀY MAI 14/11/2025, Quý khách sẽ được tặng ngay 20% giá trị thẻ nạp. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày. Thêm ưu đãi khi nạp tại: https://my.vnpt.com.vn/adv/napthe . CSKH: 18001091 (0đ).
"
"Received","Nov 13, 2025 12:51:40 PM","UIT","UIT","Truong DH CNTT thong bao nghi hoc Mon Ky thuat lap trinh Python(IE221.Q11.2) vao thu 6 ngay 14 thang 11 nam 2025. Chi tiet vui long lien he (028) 372 52002 chon 155"
"Received","Nov 12, 2025 4:34:01 PM","MTTQ ","MTTQ ","[TB] MTTQ Việt Nam kêu gọi chung tay ủng hộ đồng bào bị thiệt hại do bão lũ gây ra. Các tài khoản tiếp nhận: 55102025 tại Vietinbank; 8639699999 tại BIDV; 1400666102025 tại Agribank; 8888881010 tại Vietcombank; 0606 tại Mbbank."
"Received","Nov 11, 2025 10:25:29 AM","NAPTHE-VNP","NAPTHE-VNP","(TB) 11/11- Ưu đãi xịn bùng nổ, nạp liền kẻo lỡ! VinaPhone dành riêng cho Quý khách nhận được tin nhắn và nạp thẻ trong HÔM NAY, có ngay:
+ 20% giá trị thẻ nạp. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày.
+ Thêm ưu đãi hời khi nạp tại https://my.vnpt.com.vn/adv/napthe .
CSKH: 18001091 (0đ).
"
"Received","Nov 10, 2025 11:09:34 AM","NAPTHE-VNP","NAPTHE-VNP","(TB) Ưu đãi xịn bùng nổ, nạp liền kẻo lỡ! VinaPhone dành riêng cho Quý khách nhận được tin nhắn:
+ 20% giá trị thẻ nạp trong NGÀY MAI 11/11/2025. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày. 
+ Thêm ưu đãi hời khi nạp tại https://my.vnpt.com.vn/adv/napthe .
CSKH: 18001091 (0đ)."
"Received","Nov 6, 2025 2:32:06 PM","NAPTHE-VNP","NAPTHE-VNP","(TB) NGÀY VÀNG TỚI! Mời Quý khách nạp thẻ trong NGÀY MAI 07/11/2025 để nhận ngay 20% giá trị. Khuyến mại được sử dụng gọi/nhắn tin trong 15 ngày. Thêm ưu đãi khi nạp tại: https://my.vnpt.com.vn/adv/napthe . CSKH: 18001091 (0đ).
"
