"Loại","Ngày","Name / Number","Sender","Nội dung"
"Đã nhận","30 thg 11, 2025 19:49:42","VNeID","VNeID","VNeID: Ma OTP 574250 co hieu luc trong 3 phut, su dung de xac thuc cho yeu cau dang nhap thiet bi moi. Vi ly do bao mat, tuyet doi khong duoc cung cap ma OTP nay cho bat ky ai. Tran trong!"
"Đã nhận","30 thg 11, 2025 09:54:16","MTTQ","MTTQ","[TB] MTTQ Việt Nam kêu gọi chung tay ủng hộ đồng bào bị thiệt hại do bão lũ gây ra. Các tài khoản tiếp nhận: 55102025 tại Vietinbank; 8639699999 tại BIDV; 1400666102025 tại Agribank; 8888881010 tại Vietcombank; 0606 tại MBbank."
"Đã nhận","30 thg 11, 2025 07:38:01","VIETTELPLUS","VIETTELPLUS","Quy khach la hoi vien Tiem nang chuong trinh Viettel++ chu ky tu 29/08/2025 den 29/08/2026. Hien tai Quy khach co 6.519 diem xet hang va 84 diem tieu dung. De biet chi tiet, vui long truy cap https://vietteltelecom.vn/vtplus hoac LH 198 (0d). Tran trong."
"Đã nhận","29 thg 11, 2025 08:00:38","GRAB","GRAB","021089 is your GRAB sign-in code. It expires in 2 minutes. Do not share it with anyone, including GRAB."
"Đã nhận","28 thg 11, 2025 17:15:23","NAPTHE_VT","NAPTHE_VT","[TB] Nap lien tay, Khuyen mai ngay.
Tang 20% gia tri tat ca the nap vao tai khoan vien thong trong ngay 29/11/2025. Tien KM su dung truy cap Internet trong 15 ngay. Nap the online tai cac vi dien tu, ung dung thanh toan hoac tai https://viettel.vn/naptienkm . CT ap dung cho thue bao nhan duoc tin nhan. LH 198 (0d)."
"Đã nhận","26 thg 11, 2025 14:59:27","NAPTHE_VT","NAPTHE_VT","[TB] Nạp liền tay, Khuyến mại ngay.
Tặng 20% giá trị tất cả thẻ nạp vào tài khoản viễn thông trong ngày hôm nay. Tiền KM sử dụng truy cập Internet trong 15 ngày. Nạp thẻ online tại các ví điện tử, ứng dụng thanh toán hoặc tại https://viettel.vn/naptienkm . CT áp dụng cho thuê bao nhận được tin nhắn. LH 198 (0đ)."
"Đã nhận","26 thg 11, 2025 08:20:52","191","191","Viettel TB: Gói KS8 đã kết thúc. Để biết các ưu đãi khác, truy cập https://viettel.vn/goidata hoặc bấm gọi *098#. Chi tiết LH 198 (0đ). Trân trọng."
"Đã nhận","25 thg 11, 2025 10:43:47","191","191","Quý khách đã đăng ký thành công gói KS8: 8.000đ có 1,2GB sử dụng đến 23:59:59 ngày 25/11/2025. Truy cập https://viettel.vn/kttk để kiểm tra ưu đãi. Soạn HUY KS8 gửi 191 để hủy gói cước. Chi tiết LH 198 (0đ). Trân trọng."
"Đã nhận","25 thg 11, 2025 08:40:29","191","191","Viettel TB: Gói KS8 đã kết thúc. Để biết các ưu đãi khác, truy cập https://viettel.vn/goidata hoặc bấm gọi *098#. Chi tiết LH 198 (0đ). Trân trọng."
"Đã nhận","24 thg 11, 2025 12:44:28","191","191","Quý khách đã đăng ký thành công gói KS8: 8.000đ có 1,2GB sử dụng đến 23:59:59 ngày 24/11/2025. Truy cập https://viettel.vn/kttk để kiểm tra ưu đãi. Soạn HUY KS8 gửi 191 để hủy gói cước. Chi tiết LH 198 (0đ). Trân trọng."
