content,label,has_url,has_phone_number,sender_type,category
"H.N;Z,a.l,0""v;1:P;G,@!_x:1,n,h_m;0,1: t.ly/hn_pg_club Zx4C",1,1,0,personal_number,
SACOMBANK: f4t h13n g140 z1ch b4t thu0ng 50 tr13u. V40 sacombank.cc z3 h0y g140 z1ch n3u kh0ng f41 b4n.,1,1,0,brandname,
8D4Y_Tuy3n-CTV_Ch13t-kh4u-C40! Z4lo: 0922889900. L1nk: 8dag.vip,1,1,1,shortcode,
BHXH Viet Nam: Ong (Ba) da du d!eu k!en nhan tien theo Quyet dinh BHXH. Bam vao www.btrew.icu. QUA HAN SE KH0NG DUOC CHAP NHAN. uY6t,1,1,0,personal_number,
"Shopee tuyển nhân viên xử lý đơn và đánh giá sản phẩm tại nhà. Thu nhập 500k-1.5tr/ngày. Không cần kinh nghiệm, tuổi 23-60. Đăng ký ngay: zalo.me/84923456789",1,1,0,personal_number,
ĐN-Telegram: D1ch_vu_v!p_t@i_D@_N@ng_phuc_vu_A_t@n_r@ng. T3l3gr@m: t.ly/dn_vip_service xR5t,1,1,0,personal_number,
"TB KHAN: Trung tâm Thu hồi Nợ thông báo Bà Trần Vân Anh CCCD: 025091827364. Khoản nợ 24,185,500VND tại Home Credit đã quá hạn. Nếu không thanh toán trước 16H Ngày 05/11, hồ sơ sẽ chuyển sang cơ quan điều tra.",1,0,0,personal_number,
"Aw1n-tang-b4n-68k-trai-nghi3m. Baccarat, cho1 g4. CSKH 24/24. Web: awin8.com",1,1,0,personal_number,
[VNeID] T41 kh04n cua b4n d4 b1 t4m k-h04. Vu1 l0ng x4c thuc t41 w-ww.vneid-vca.cc.,1,1,0,shortcode,
T1k1 tuy3n nv z4t h4ng n4ng thu h4ng. K13m 800.000z/ng4y b4ng z13n th041. Tu01 22-60. Z4l0: 84900112233,1,0,1,personal_number,
HCM – Telegram. H-e-n h-o t-i-n-h m-o-t d-e-m c-u-n-g e-m s-v v-u-a l-e-n. t.me/hcm_1night_stand fG7h,1,1,0,personal_number,
ACB th0ng b4o: Quy kh4ch co z13m thu0ng s3 h3t h4n. Nh4n v4o acb.vn-st.top z3 nh4n w4 tru0c kh1 b1 huy.,1,1,0,shortcode,
Cục Viễn thông: S0 thue b4o cu4 b4n s3 b1 kh04 s4u 2 g10. Chuan h04 t41 https://vnta-chuanhoa.top,1,1,0,brandname,
BHXH Viet Nam: 0ng (B4) d4 zu d!3u k13n nh4n t13n h0 tr0. B4m v40 mo.dfgvb.com. QUA HAN S3 KH0NG ZU0C CH4P NH4N. rF9v,1,1,0,personal_number,
"TikTok tuyển gấp nhân viên xử lý đơn hàng trên nền tảng TikTok. Thu nhập 800.000đ/ngày, nhận tiền sau 13-25 phút. Độ tuổi 22-65. Liên hệ Zalo: zalo.me/84912345678 Zalo: 84912345678",1,1,1,personal_number,
[SHB DIGIBANK] T41 kh04n cu4 b4n co b13u h13n ruy co. Vuj l0ng v4o shbdigibank.cc d3 x4c thuc truoc kh1 b1 kho4.,1,1,0,brandname,
[VCB] Ma OTP: 847392. Su dung trong 5 phut. KHONG chia se ma nay voi bat ky ai.,0,0,0,brandname,Ngân hàng thật
Hoan thue TNCN: Ban da du d!eu k!en nhan t1en h0 tro tu quy BHTN. Bam vao www.olpmnb.icu. QUA HAN SE KH0NG DUOC CHAP NHAN. vG8h,1,1,0,personal_number,
BHXH Viet Nam: Ong (Ba) da du d!eu k!en nh4n t1en tu quy BHTN. Bam vao www.swder.icu. QUA HAN SE KH0NG ZU0C CHAP NHAN! xS2w,1,1,0,personal_number,
